Epoch 00100 | TrainSet_Loss 0.002363
Epoch 00200 | TrainSet_Loss 0.000989
Epoch 00300 | TrainSet_Loss 0.000613
Epoch 00400 | TrainSet_Loss 0.000534
Epoch 00500 | TrainSet_Loss 0.000399
Epoch 00600 | TrainSet_Loss 0.000407
Epoch 00700 | TrainSet_Loss 0.000292
Epoch 00800 | TrainSet_Loss 0.000273
Epoch 00900 | TrainSet_Loss 0.000257
Epoch 01000 | TrainSet_Loss 0.000245
Epoch 01100 | TrainSet_Loss 0.000237
Epoch 01200 | TrainSet_Loss 0.000222
Epoch 01300 | TrainSet_Loss 0.000246
Epoch 01400 | TrainSet_Loss 0.000193
Epoch 01500 | TrainSet_Loss 0.000190
Epoch 01600 | TrainSet_Loss 0.000186
Epoch 01700 | TrainSet_Loss 0.000183
Epoch 01800 | TrainSet_Loss 0.000179
Epoch 01900 | TrainSet_Loss 0.000174
Epoch 02000 | TrainSet_Loss 0.000171
78174.7811293602
